RECTYPE,LEA,ESTAB,URN,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_PTQ_EE,PTL2BASICS_LL_PTQ_EE
1,211,4726,100978,VA,125,53.5,0.03,-0.16,0.23,0.39,0.26,0.76
1,211,4024,100965,CY,103,49.8,0.18,-0.03,0.4,0.42,0.23,0.64
1,211,4507,100975,VA,230,53.8,0.41,0.27,0.56,0.38,0.25,0.63
1,211,6006,139601,IND,,NA,NA,NA,NA,NA,NA,NA
1,211,6389,131745,IND,,NA,NA,NA,NA,NA,NA,NA
1,211,6398,136129,IND,,NA,NA,NA,NA,NA,NA,NA
1,211,4505,100974,VC,179,50,0.32,0.16,0.49,0.28,0.17,0.54
1,211,6387,131388,IND,,NA,NA,NA,NA,NA,NA,NA
1,211,4105,100966,CY,165,49.4,0.04,-0.13,0.2,0.12,0.07,0.55
1,211,6394,134810,IND,,NA,NA,NA,NA,NA,NA,NA
1,211,4001,141133,F,,,,,,,,
1,211,6390,132797,IND,,NA,NA,NA,NA,NA,NA,NA
1,211,6383,100982,IND,,NA,NA,NA,NA,NA,NA,NA
1,211,6391,133307,IND,,NA,NA,NA,NA,NA,NA,NA
1,211,4150,100967,CY,228,51.3,0.14,0,0.28,0.33,0.23,0.69
1,211,4242,100968,CY,209,54.8,0.3,0.15,0.45,0.8,0.52,0.69
1,211,4296,100972,CY,116,50.9,0.29,0.09,0.48,0.5,0.37,0.66
1,211,5400,100979,VA,124,40.7,-0.86,-1.04,-0.67,0.27,0.16,0.35
1,211,6385,100303,IND,,NA,NA,NA,NA,NA,NA,NA
1,211,4277,100970,FD,192,51.8,0.4,0.24,0.56,0.6,0.37,0.68
1,211,4722,100977,VA,195,53.7,0.28,0.13,0.43,0.73,0.45,0.7
1,211,4276,100969,CY,168,51.8,0.12,-0.04,0.29,0.89,0.3,0.68
1,211,4297,100973,CY,198,50,0.38,0.22,0.54,0.41,0.24,0.61
1,211,8066,130418,FESI,,NA,NA,NA,NA,NA,NA,NA
1,211,4000,138202,F,,,,,,,,
2,211,7168,100989,CYS,7,NE,SUPP,SUPP,SUPP,NE,NE,NE
2,211,7084,100986,CYS,9,10.3,-2.47,-3.2,-1.73,0,0,0
2,211,7171,131598,CYS,9,3.2,-2.73,-3.43,-2.04,0,0,0
2,211,7095,100987,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
4,211,,,,2571,50,0.15,0.11,0.19,0.461,0.275,0.629
1,212,6396,101090,IND,,NA,NA,NA,NA,NA,NA,NA
1,212,4000,138267,F,,,,,,,,
1,212,5402,138681,ACC,58,48.6,0.01,-0.28,0.31,0.55,0.29,0.71
1,212,6905,135316,AC,206,58.4,0.48,0.33,0.63,0.88,0.53,0.81
1,212,5401,139842,ACC,267,52,0.16,0.03,0.29,0.87,0.32,0.69
1,212,4328,136883,ACC,155,51.7,0.01,-0.16,0.18,0.38,0.25,0.66
1,212,6292,101071,IND,,NA,NA,NA,NA,NA,NA,NA
1,212,4297,101053,CY,166,49.8,0.02,-0.15,0.19,0.55,0.33,0.58
1,212,5400,137005,ACC,250,61.3,0.33,0.19,0.46,0.7,0.53,0.87
1,212,6390,101086,IND,,NA,NA,NA,NA,NA,NA,NA
1,212,4001,140985,AC,136,55.5,1.15,0.93,1.36,0.65,0.38,0.75
1,212,6040,101064,IND,,NA,NA,NA,NA,NA,NA,NA
1,212,6310,101072,IND,,NA,NA,NA,NA,NA,NA,NA
1,212,4734,141808,ACC,139,56.1,0.06,-0.13,0.24,0.36,0.29,0.79
1,212,4008,135762,VA,73,48,-0.3,-0.58,-0.01,0.34,0.19,0.48
1,212,5405,138682,ACC,144,48.3,0.16,-0.04,0.36,0.24,0.15,0.66
1,212,6403,132237,IND,,NA,NA,NA,NA,NA,NA,NA
2,212,7077,101095,CYS,8,NE,SUPP,SUPP,SUPP,NE,NE,NE
2,212,6408,101175,INDSPEC,,NA,NA,NA,NA,NA,NA,NA
2,212,7207,101103,CYS,29,3.8,-2.01,-2.44,-1.59,0,0,0
2,212,7067,101093,CYS,10,NE,NE,NE,NE,NE,NE,NE
2,212,7000,143175,ACS,,,,,,,,
2,212,7209,131594,CYS,13,8.5,-2.2,-2.78,-1.62,0,0,0
2,212,7068,101094,CYS,12,1.6,-2.45,-3.18,-1.71,0,0,0
2,212,7183,101102,CYS,9,NE,NE,NE,NE,NE,NE,NE
2,212,6041,136110,INDSPEC,,NA,NA,NA,NA,NA,NA,NA
2,212,6405,134145,INDSPEC,,NA,NA,NA,NA,NA,NA,NA
4,212,,,,1675,51.6,0.14,0.09,0.19,0.58,0.339,0.688
1,213,6907,135242,AC,66,60,1.07,0.8,1.34,0.8,0.73,0.85
1,213,6384,101181,IND,,NA,NA,NA,NA,NA,NA,NA
1,213,6046,101161,IND,,NA,NA,NA,NA,NA,NA,NA
1,213,6037,101158,IND,,NA,NA,NA,NA,NA,NA,NA
1,213,4628,138313,ACC,150,63.3,0.49,0.31,0.66,0.87,0.66,0.83
1,213,6389,100536,IND,,NA,NA,NA,NA,NA,NA,NA
1,213,4000,140884,F,,,,,,,,
1,213,6905,130912,AC,183,54.8,0.75,0.59,0.91,0.27,0.22,0.77
1,213,6908,135676,AC,197,52.9,0.28,0.13,0.44,0.73,0.41,0.68
1,213,6386,100541,IND,,NA,NA,NA,NA,NA,NA,NA
1,213,6036,101157,IND,,NA,NA,NA,NA,NA,NA,NA
1,213,4295,137646,ACC,209,48.9,-0.19,-0.34,-0.04,0.3,0.18,0.62
