LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Exclud",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Exclu1",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
344,3300,105066,15,7,2,11.6,4.4,1.5,21.4,37872
344,3304,105067,14,8,4,11.4,5.8,2.8,17,36225
344,3321,105068,9,14,NA,8.6,7.5,NA,35.2,36975
344,3322,105069,9,15,3,8.6,11.6,2,17.4,33257
344,3324,105070,8,6,6,7.6,4.6,3.2,13.7,35607
344,3330,105071,14,13,2,12.5,9.5,2,26,39503
344,3331,105072,22,18,3,18.9,14.9,3,20.4,36279
344,3333,105073,19,13,3,17.6,9.4,2,13.9,34607
344,3335,105074,26,14,3,21.8,13.3,2.6,18.1,33263
344,3337,105076,20,15,3,17.4,9.1,1.8,20.5,37175
344,3350,105077,8,9,NA,7,5.9,NA,30,41403
344,3351,105078,15,14,2,11,5.9,1.6,20.3,35484
344,3352,105079,13,12,5,11.4,7.8,4.1,28.1,37128
344,3360,105080,13,10,3,11.3,6.5,1.8,23.3,34743
344,3361,105081,21,17,2,17.9,12.7,1.9,23.5,36299
344,3362,105082,8,8,1,6.6,6.1,0.2,33.6,41497
344,3363,136124,11,17,5,10.6,12.4,3,18.2,35251
344,3364,140458,22,21,8,19.1,9.8,3,22,35228
344,3365,105084,17,10,3,15.5,6,1.7,19.4,32379
344,3366,105085,11,18,3,10.8,15.9,2.4,18.3,32068
344,3367,105086,22,25,7,19.3,22,5.7,21,38056
344,3368,105087,10,11,2,10,8.9,1.9,15.7,39306
344,3369,105088,10,10,2,8.9,10,2,23.4,38018
344,3371,105090,13,13,5,12.4,10.6,3,16.8,36909
344,3372,105091,12,17,1,11,14.6,0.9,20,31979
344,3373,105092,20,14,2,16.5,11.6,2,25.2,36246
344,3374,103598,21,12,8,18.6,8.1,5.2,21.9,38259
344,3375,136056,11,13,3,9.7,7.3,2.5,16.5,36923
344,3376,135497,11,23,13,10.4,12.2,4.6,22.7,39190
344,6905,135877,75,12,25,68.2,9.6,18.9,15.9,36880
350,2000,105148,21,18,4,19.3,14.4,3.3,22.7,36603
350,2001,138399,15,20,6,14.8,19.1,6,24.9,36611
350,2002,139776,8,7,5,8,6.9,4,27.6,29905
350,2003,140973,11,6,2,10,5.8,2,15.1,39595
350,2004,105149,14,22,4,13.2,17.5,3.4,18.6,37402
350,2005,105150,12,21,2,11.2,16.5,1.9,19.2,38030
350,2008,105152,21,27,3,19.2,20.4,2.5,20.3,36172
350,2010,105153,21,27,5,19.8,19.1,3.9,23.1,37664
350,2013,105154,22,16,4,21.4,13.3,3.9,18.9,35823
350,2014,105155,19,23,5,18.6,17.4,4.5,19.1,40511
350,2016,105156,21,28,11,18.7,19.2,7.2,22.5,36112
350,2017,105157,16,14,2,16,11,1.8,14.7,34949
350,2018,136395,21,30,8,19,23,5.9,25.3,35620
350,2019,105159,16,14,5,14,9.9,3,22.8,38771
350,2020,105160,17,16,3,17,10.7,2.3,21.5,37044
350,2022,105161,22,28,10,21.2,21.6,7.7,21.2,37837
350,2024,105162,13,9,3,11.5,6.9,2.5,19.5,39601
350,2025,105163,27,25,9,25.4,17.6,8,18.7,37492
350,2028,105164,19,22,6,18,18,5.2,20.2,37215
350,2035,105168,21,15,3,18.9,11.3,2.9,16.2,33893
350,2036,105169,16,18,5,15.5,15.9,3.7,23.1,38497
350,2038,105171,12,20,11,11.6,17,7.8,22.3,35478
350,2039,105172,12,14,9,11.1,10.2,4.8,20.7,35401
350,2040,105173,10,12,2,9,8.1,1.3,24.1,37673
350,2041,105174,10,9,2,9,5.4,2,22.8,38263
350,2042,105175,11,15,3,9.2,9.8,2.5,24.9,36616
350,2043,105176,13,9,3,9.7,6.4,2.4,21.8,40614
350,2050,138011,10,13,16,9.4,10.2,7.4,22.9,37103
350,2051,105178,16,18,4,15.2,13.8,4,17.3,36438
350,2053,105179,12,6,3,11.6,4.9,2.9,17.2,35751
350,2056,105182,17,24,4,16.2,19.9,3,24,37730
350,2060,141915,12,8,5,11.8,6.3,4.3,21.3,38718
350,2061,105186,12,20,2,11.6,14.6,2,19.7,38899
350,2062,105187,23,24,13,22.2,19.4,9.1,18.6,37228
350,2064,138152,10,13,5,10,8.5,2.2,24.2,33461
350,2065,105189,16,11,3,15.5,9.5,2.9,20.6,35894
350,2066,105190,19,19,6,15.9,11,3.5,22.6,35950
350,2067,105191,11,10,7,8.7,6.4,4.4,24.9,38561
350,2068,105192,10,10,4,8.5,7,2.9,25.4,37454
350,2071,105193,14,17,2,14,14,2,20.9,36488
350,2072,137991,15,18,3,13.4,12.3,2.3,18.3,36148
350,2073,105195,9,14,4,8.1,9.3,3.1,25.8,38805
350,2075,105196,10,11,5,9.6,7.1,2.3,23.8,40059
350,2076,105197,7,6,4,6.4,4.9,2.8,NA,34860
350,2078,105198,12,12,3,11.6,10.6,2.7,19.1,33761
350,2079,105199,8,12,3,7.2,9.2,2.3,27.2,36683
350,2081,105200,22,33,10,20.2,27.4,6.8,23.3,40971
350,2083,105202,11,11,5,10.3,9.9,3.1,22.5,39606
350,2084,133925,11,27,3,10.4,19.5,3,21.9,38669
350,2085,133926,15,16,4,13.8,10.9,3.9,22.6,37053
350,2086,132785,10,16,3,9.8,11.5,2.8,23.7,41698
350,3000,105203,17,23,5,17,20.1,5,25.4,40500
350,3007,105205,20,28,4,17.5,23.8,3.7,24.5,34087
350,3009,138851,16,22,3,15.4,14.4,1.7,16.7,33158
350,3016,105208,18,27,3,14.2,22.1,2.4,24.3,41243
350,3021,105209,18,22,12,17.4,12.3,5,22.3,39635
350,3023,105211,14,16,5,12.2,11.7,4.2,19.9,38220
350,3025,138957,23,28,6,21.4,22.6,5,21.4,34401
350,3302,105214,22,28,4,19.5,18.4,3.5,21.8,35002
350,3304,105216,20,26,15,18.9,18.5,4.7,23.5,34354
350,3306,105217,13,13,5,9.5,9.3,3,22.2,36662
350,3314,105218,15,17,6,13.8,13.8,3.4,21.9,37553
350,3315,105219,10,9,3,8.5,7.5,2.8,23.2,36042
350,3316,105220,13,17,3,10.6,14.1,2.9,22.2,36346
350,3317,105221,18,17,7,16.4,12.5,4.9,25.3,38582
350,3319,105222,12,14,2,11.1,10.6,1.9,20.5,36529
350,3320,105223,12,13,2,10.6,10.2,1.8,19.5,38150
350,3328,105225,10,13,3,10,10.9,2.4,22.2,37801
350,3331,105226,10,13,2,10,11.8,2,23.3,41444
350,3335,105228,9,11,4,8.5,5.8,2.9,24.4,40567
350,3336,105229,9,12,3,9,9.2,2.8,23.8,36635
350,3337,105230,9,11,3,8.4,7.8,2.1,21.3,37521
350,3340,105231,11,10,3,10.2,6.2,1.7,21.5,37315
350,3341,105232,16,11,3,14.5,6.6,2.9,22.9,39574
350,3344,105233,19,22,3,16.7,11.8,2.4,23.9,39408
350,3345,105234,13,14,4,12.2,8.2,2.6,19.8,36594
350,3348,105236,9,10,3,8.6,5.4,1.8,24.7,37252
350,3349,105237,10,10,2,9.6,7.4,1.8,21.4,37208
350,3351,105238,15,15,4,14.3,13,3.7,17.7,35235
350,3352,105239,17,27,3,15.8,20.6,2.7,20.3,38944
350,3354,105240,9,10,2,9,8.7,2,23.4,38800
350,3355,105241,11,12,3,10.1,8.6,3,20.6,39841
350,3356,105242,9,11,3,9,8.2,2.3,22.8,35380
350,3359,105243,22,9,9,20.3,5.1,8.5,19.3,37136
350,3360,105244,11,12,3,9.4,9.2,2,22.1,38968
350,3362,105245,13,10,3,11.4,7.9,2.6,19.8,37551
350,3363,105246,11,9,3,9.2,5.4,2.7,22.7,38188
350,3364,105247,9,15,2,8.8,9,1.5,17.5,39375
350,3365,105248,9,13,7,8.4,7.1,3.5,23.2,39050
350,3366,105249,10,12,2,9.4,7.3,1.6,21.4,37557
350,3367,105250,9,14,11,7.2,8.9,5.4,29.7,37221
350,3368,136889,29,30,11,28.4,24.5,8.6,18.5,33948
350,3369,131038,15,13,7,14,9.1,3.4,22,37130
350,3370,133980,24,32,6,22.4,22.4,5.2,20.9,38866
