URN,COHORT,OVERALL,FEC,OTHERFE,SSF,SFC,APPREN,HEI,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,OTHERFEPER,SSFPER,SFCPER,APPRENPER,HEIPER,COMBOPER,KNOWNPER,UNKNOWNPER
116407,240,220,30,10,0,185,5,0,0,10,10,92%,12%,3%,0%,77%,1%,0%,0%,5%,3%
136640,280,260,70,5,SUPP,175,10,0,0,15,5,91%,25%,3%,SUPP,63%,4%,0%,0%,6%,3%
116409,210,190,40,SUPP,SUPP,145,SUPP,0,0,15,5,91%,20%,SUPP,SUPP,70%,SUPP,0%,0%,6%,3%
116410,210,180,160,10,SUPP,10,10,0,0,15,15,84%,75%,5%,SUPP,4%,5%,0%,0%,8%,8%
116411,200,180,50,5,0,125,10,0,0,15,5,88%,24%,3%,0%,61%,5%,0%,0%,8%,3%
116412,220,190,40,SUPP,SUPP,155,10,0,0,10,10,90%,18%,SUPP,SUPP,71%,4%,0%,0%,4%,6%
116413,200,160,60,5,0,90,15,SUPP,0,25,15,79%,30%,3%,0%,45%,6%,SUPP,0%,12%,8%
136654,360,310,60,15,SUPP,235,30,0,0,30,25,85%,16%,4%,SUPP,64%,8%,0%,0%,8%,7%
137125,220,180,115,5,0,60,5,0,0,25,10,83%,53%,2%,0%,28%,2%,0%,0%,11%,6%
137129,240,190,170,10,5,5,20,0,0,30,15,82%,72%,5%,3%,2%,9%,0%,0%,12%,6%
137128,220,200,35,0,0,165,5,0,0,5,5,95%,17%,0%,0%,78%,3%,0%,0%,3%,2%
116418,160,130,115,5,0,10,5,0,0,15,10,84%,74%,4%,0%,6%,4%,0%,0%,11%,6%
116419,350,320,105,10,5,205,15,0,0,15,10,93%,30%,3%,1%,59%,4%,0%,0%,5%,3%
116420,140,110,50,SUPP,5,50,5,0,0,15,15,79%,37%,SUPP,3%,37%,3%,0%,0%,12%,10%
137239,220,200,50,5,SUPP,145,5,0,0,10,10,91%,22%,2%,SUPP,66%,2%,0%,0%,5%,4%
116422,210,180,70,5,SUPP,110,5,0,0,15,10,89%,34%,1%,SUPP,53%,2%,0%,0%,7%,4%
116423,130,110,95,5,0,10,10,0,0,10,5,88%,76%,3%,0%,9%,6%,0%,0%,9%,3%
116424,260,240,85,15,0,135,15,0,0,10,10,91%,33%,5%,0%,53%,5%,0%,0%,4%,5%
116425,110,80,50,SUPP,0,35,SUPP,0,0,10,10,78%,44%,SUPP,0%,32%,SUPP,0%,0%,11%,11%
116426,160,140,55,SUPP,5,70,5,0,0,10,10,87%,36%,SUPP,4%,45%,3%,0%,0%,6%,8%
116427,130,110,50,5,0,55,5,0,0,10,5,86%,39%,3%,0%,44%,4%,0%,0%,9%,5%
116428,160,140,120,5,0,15,5,0,0,15,10,85%,74%,3%,0%,8%,4%,0%,0%,10%,5%
