"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
136421,104832,"St Aelred's Catholic Technology College","Parent","01-09-2011"
136421,104828,"Newton-le-Willows Community High School","Parent","01-09-2011"
136439,123449,"Priorslee Primary School","Parent","01-02-2011"
136441,130900,"Flitch Green Primary School","Parent","01-02-2011"
136442,110862,"Linton Village College","Parent","01-02-2011"
136443,115362,"Southend High School for Boys","Parent","01-02-2011"
136444,115344,"Southend High School for Girls","Parent","01-02-2011"
136447,116481,"The Priory Primary School","Parent","01-02-2011"
136448,110042,"Kendrick School","Parent","01-02-2011"
136449,110097,"Reading School","Parent","01-02-2011"
136450,100626,"Stockwell Park School","Parent","01-02-2011"
