"Group UID","Group ID","Group Name","Companies House Number","Group Type (code)","Group Type","Closed Date","Group Status (code)","Group Status","Group Contact Street","Group Contact Locality","Group Contact Address 3","Group Contact Town","Group Contact County","Group Contact Postcode","Head of Group Title","Head of Group First Name","Head of Group Last Name"
"1228","Devon Moors Federation","Devon Moors Federation","","01","Federation","","OPEN","Open","","","","","Not recorded","","Mr","Stephen","Mellor"
"1229","","The Palatine Achievement Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1232","","The Federation of Trosnant Infant and Junior Schools","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1234","","The Parkside Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1235","","Slough Grammar School Charitable Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1236","","The Buttershaw Learning and Achievement Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1237","","Brownhills School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1238","","The Dewsbury Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1239","","The Frank F Harrison Trust in the Beechdale Community Partnership","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1240","","The Education Trust for Wetherby","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1241","","Foxford School Trust Limited","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1242","","Whitefield School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1243","","Cressex Co-operative Learning Partnership","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1244","","South West Bristol Co-operative Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1245","","Trentham Co-operative Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1247","","Eltham Green School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1248","","The Coopers Edge Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1250","","The Vale of Berkeley Co-operative Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1251","","Spennymoor Learning Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1252","","The Ted Wragg Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1253","","The Federation of St Stephen's Primary School and St Stephen's Nursery School","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1255","","Stanley Infant and Nursery School","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1257","","Thames View Infant School","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
